term_id,concept,category,language,term,notes
eng_flesh,Flesh,anthropology,english,Flesh,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_flesh_g; greek_surface_prospective_terms.csv:gpx_flesh_g; theological_terms.csv:flesh_g; theological_terms.csv:flesh_h
eng_heart,Heart,anthropology,english,Heart,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_heart_g; greek_surface_prospective_terms.csv:gpx_heart_g; theological_terms.csv:heart_g; theological_terms.csv:heart_h
eng_soul,Soul,anthropology,english,Soul,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_soul_g; greek_surface_prospective_terms.csv:gpx_soul_g; theological_terms.csv:soul_g; theological_terms.csv:soul_h
eng_beast,Beast,apocalyptic,english,Beast,generated from declared concept labels; sources: dynamic_skip_focus_terms.csv:dyn_beast_e; dynamic_skip_focus_terms.csv:dyn_beast_g; dynamic_skip_focus_terms.csv:dyn_beast_h; greek_exact_center_cohort_terms.csv:beast_gxc
eng_dragon,Dragon,apocalyptic,english,Dragon,generated from declared concept labels; sources: dynamic_skip_focus_terms.csv:dyn_dragon_e; dynamic_skip_focus_terms.csv:dyn_dragon_g; dynamic_skip_focus_terms.csv:dyn_dragon_h; greek_exact_center_cohort_terms.csv:dragon_gxc
eng_seal,Seal,apocalyptic,english,Seal,generated from declared concept labels; sources: greek_exact_center_cohort_terms.csv:seal_gxc
eng_antichrist,Antichrist,apocalyptic_figures,english,Antichrist,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_antichrist_g; greek_surface_prospective_terms.csv:gpx_antichrist_g; prophetic_terms.csv:antichrist_g
eng_falseprophet,False Prophet,apocalyptic_figures,english,False Prophet,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_false_prophet_g; greek_surface_prospective_terms.csv:gpx_false_prophet_g; prophetic_terms.csv:false_prophet_g; prophetic_terms.csv:false_prophet_h
eng_fourlivingcreatures,Four Living Creatures,apocalyptic_figures,english,Four Living Creatures,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_four_living_creatures_g; greek_surface_prospective_terms.csv:gpx_four_living_creatures_g; prophetic_terms.csv:four_living_creatures_g
eng_twentyfourelders,Twenty Four Elders,apocalyptic_figures,english,Twenty Four Elders,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_twenty_four_elders_g; greek_surface_prospective_terms.csv:gpx_twenty_four_elders_g; prophetic_terms.csv:twenty_four_elders_g
eng_twowitnesses,Two Witnesses,apocalyptic_figures,english,Two Witnesses,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_two_witnesses_g; greek_surface_prospective_terms.csv:gpx_two_witnesses_g; prophetic_terms.csv:two_witnesses_g; prophetic_terms.csv:two_witnesses_h
eng_whoreofbabylon,Whore Of Babylon,apocalyptic_figures,english,Whore Of Babylon,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_whore_babylon_g; greek_surface_prospective_terms.csv:gpx_whore_babylon_g; prophetic_terms.csv:whore_babylon_g
eng_beast_2,Beast,apocalyptic_symbol_baseline,english,Beast,generated from declared concept labels; sources: gog_magog_pair_prospective_terms.csv:beast_h
eng_dragon_2,Dragon,apocalyptic_symbol_baseline,english,Dragon,generated from declared concept labels; sources: gog_magog_pair_prospective_terms.csv:dragon_h
eng_horn,Horn,apocalyptic_symbol_baseline,english,Horn,generated from declared concept labels; sources: gog_magog_pair_prospective_terms.csv:horn_h
eng_seal_2,Seal,apocalyptic_symbol_baseline,english,Seal,generated from declared concept labels; sources: gog_magog_pair_prospective_terms.csv:seal_h
eng_abyss,Abyss,apocalyptic_symbols,english,Abyss,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_abyss_g; greek_surface_prospective_terms.csv:gpx_abyss_g; prophetic_terms.csv:abyss_g; prophetic_terms.csv:abyss_h
eng_bear,Bear,apocalyptic_symbols,english,Bear,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_bear_g; greek_surface_prospective_terms.csv:gpx_bear_g; prophetic_terms.csv:bear_g; prophetic_terms.csv:bear_h
eng_beast_3,Beast,apocalyptic_symbols,english,Beast,generated from declared concept labels; sources: prophetic_terms.csv:beast_g; prophetic_terms.csv:beast_h
eng_dragon_3,Dragon,apocalyptic_symbols,english,Dragon,generated from declared concept labels; sources: prophetic_terms.csv:dragon_g; prophetic_terms.csv:dragon_h
eng_eyes,Eyes,apocalyptic_symbols,english,Eyes,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_eyes_g; greek_surface_prospective_terms.csv:gpx_eyes_g; prophetic_terms.csv:eyes_g; prophetic_terms.csv:eyes_h
eng_heads,Heads,apocalyptic_symbols,english,Heads,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_heads_g; greek_surface_prospective_terms.csv:gpx_heads_g; prophetic_terms.csv:heads_g; prophetic_terms.csv:heads_h
eng_horn_2,Horn,apocalyptic_symbols,english,Horn,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_horn_g; greek_surface_prospective_terms.csv:gpx_horn_g; prophetic_terms.csv:horn_g; prophetic_terms.csv:horn_h
eng_image,Image,apocalyptic_symbols,english,Image,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_image_g; greek_surface_prospective_terms.csv:gpx_image_g; prophetic_terms.csv:image_g; prophetic_terms.csv:image_h
eng_ironteeth,Iron Teeth,apocalyptic_symbols,english,Iron Teeth,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_iron_teeth_g; greek_surface_prospective_terms.csv:gpx_iron_teeth_g; prophetic_terms.csv:iron_teeth_g; prophetic_terms.csv:iron_teeth_h
eng_key,Key,apocalyptic_symbols,english,Key,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_key_g; greek_surface_prospective_terms.csv:gpx_key_g; prophetic_terms.csv:key_g; prophetic_terms.csv:key_h
eng_lampstand,Lampstand,apocalyptic_symbols,english,Lampstand,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_lampstand_g; greek_surface_prospective_terms.csv:gpx_lampstand_g; prophetic_terms.csv:lampstand_g; prophetic_terms.csv:lampstand_h
eng_leopard,Leopard,apocalyptic_symbols,english,Leopard,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_leopard_g; greek_surface_prospective_terms.csv:gpx_leopard_g; prophetic_terms.csv:leopard_g; prophetic_terms.csv:leopard_h
eng_lion,Lion,apocalyptic_symbols,english,Lion,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_lion_g; greek_surface_prospective_terms.csv:gpx_lion_g; prophetic_terms.csv:lion_g; prophetic_terms.csv:lion_h
eng_locust,Locust,apocalyptic_symbols,english,Locust,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_locust_g; greek_surface_prospective_terms.csv:gpx_locust_g; prophetic_terms.csv:locust_g; prophetic_terms.csv:locust_h
eng_mark,Mark,apocalyptic_symbols,english,Mark,generated from declared concept labels; sources: greek_expanded_prospective_terms.csv:gpx_mark_g; greek_surface_prospective_terms.csv:gpx_mark_g; prophetic_terms.csv:mark_g; prophetic_terms.csv:mark_h
